date,secchi_m,chla,TP,Perception
2007-09-12,2.6,,,
2008-06-01,2.6,,,
2008-08-20,2.6,,,2
2008-09-21,2.6,,,1
2009-06-20,3,,,1
2009-09-16,2.7,,,1
2010-06-06,2.9,,,1
2010-07-08,2.9,,,1
2010-09-18,2.9,,,1
2011-06-25,2.1,,,2
2011-09-14,2.6,,,1
2012-07-22,2.7,,,1
2013-08-10,2.9,,,1
2014-06-09,3.6,,,2
2014-08-28,3.3,,,1
2016-07-24,2.3,,,2
2016-09-03,2.1,,,1
2016-10-06,2.3,,,1
2017-05-13,2.4,,,1
2017-06-17,1.8,,,2
2017-07-29,2,,,1
2018-06-13,2.4,,,2
2018-07-30,1.5,,,2
2018-08-08,2.1,,,1
2018-08-08,2.1,,,1
2018-09-09,2.1,,,1
2019-07-07,2.1,,,1
2019-07-21,2.1,,,1
2019-08-01,2,,,1
2020-06-02,2.4,,,1
2020-06-21,2.6,,,1
2020-07-09,2.4,,,1
2020-08-23,2.3,,,1
