Lake Water Quality Report - 1950 to 2020,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type,,,,,,,
Crystal Lake,Langlade,184200,NO,34,,213044,NE,SEEPAGE,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception,
8190318,6/8/1986,22,NO,6.7,,,33,,,,,CLEAR,BLUE,,
8190318,6/21/1986,18,NO,5.5,,,35,,,,,CLEAR,BLUE,,
8190318,7/13/1986,21,NO,6.4,,,33,,,,,CLEAR,BLUE,,
8190318,7/28/1986,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,,
8190318,8/3/1986,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,,
8190318,8/17/1986,22.75,NO,6.9,,,32,,,,,CLEAR,BLUE,,
8190318,8/31/1986,24.5,NO,7.4,,,31,,,,,CLEAR,BLUE,,
8190318,9/28/1986,16.5,NO,5,,,37,,,,,CLEAR,BLUE,,
8190318,10/25/1986,16,NO,4.9,,,37,,,,,CLEAR,BLUE,,
8190318,4/12/1987,18.5,NO,5.6,,,35,,,,,CLEAR,BLUE,,
8190318,4/25/1987,18,NO,5.5,,,35,,,,,CLEAR,BLUE,,
8190318,5/9/1987,16.25,NO,4.9,,,37,,,,,,GREEN,,
8190318,5/17/1987,14.5,NO,4.4,,,39,,,,,,GREEN,,
8190318,6/16/1987,13,NO,4,,,40,,,,,,GREEN,,
8190318,6/21/1987,12,NO,3.6,,,41,,,,,,GREEN,,
8190318,7/6/1987,13,NO,4,,,40,,,,,,GREEN,,
8190318,7/19/1987,11,NO,3.3,,,43,,,,,,GREEN,,
8190318,7/26/1987,9.5,NO,2.9,,,45,,,,,,GREEN,,
8190318,8/2/1987,13,NO,4,,,40,,,,,,GREEN,,
8190318,8/8/1987,16.5,NO,5,,,37,,,,,CLEAR,BLUE,,
8190318,8/15/1987,19,NO,5.8,,,35,,,,,CLEAR,BLUE,,
8190318,8/23/1987,16.5,NO,5,,,37,,,,,CLEAR,BLUE,,
8190318,8/29/1987,20.5,NO,6.2,,,34,,,,,CLEAR,BLUE,,
8190318,9/5/1987,20.25,NO,6.2,,,34,,,,,CLEAR,BLUE,,
8190318,10/4/1987,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,,
8190318,5/1/1988,10.5,NO,3.2,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems,
8190318,5/21/1988,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,5/22/1988,14.5,NO,4.4,,,39,,,,,,,,
8190318,5/28/1988,16.5,NO,5,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/5/1988,17,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/13/1988,17,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/28/1988,19,NO,5.8,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/17/1988,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems,
8190318,7/24/1988,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems,
8190318,7/30/1988,20,NO,6.1,,,34,,,,,CLEAR,BLUE,,
8190318,8/7/1988,20.25,NO,6.2,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/13/1988,20,NO,6.1,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/20/1988,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/26/1988,20,NO,6.1,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,5/28/1989,18.25,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/4/1989,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/10/1989,17,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/5/1989,20,NO,6.1,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/21/1989,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/5/1989,18.25,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/12/1989,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,5/13/1990,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/2/1990,20.25,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/9/1990,25,NO,7.6,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/1/1990,21,NO,6.4,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/14/1990,21.25,NO,6.5,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/21/1990,23,NO,7,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/4/1990,23.25,NO,7.1,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/26/1990,20.25,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,9/9/1990,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,9/30/1990,12,NO,3.6,,8,41,44,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,10/21/1990,,,,,12,,47,,,,,,,
8190318,4/28/1991,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems,
8190318,5/11/1991,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,2-Very minor aesthetic problems,
8190318,5/27/1991,13,NO,4,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems,
8190318,6/16/1991,18.25,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/3/1991,17.25,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/16/1991,,,,,8,,44,,,,,,,
8190318,8/17/1991,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/31/1991,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,10/13/1991,,,,,19,,51,,,,,,,
8190318,10/13/1991,16.75,NO,5.1,,8,37,44,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/30/1992,15.25,NO,4.6,,,38,,,,,CLEAR,BLUE,2-Very minor aesthetic problems,
8190318,8/9/1992,20.25,NO,6.2,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/16/1992,21.5,NO,6.5,,10,33,46,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/3/1993,25.5,NO,7.8,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,8/8/1993,,,,1.19,,,,36,,,,,,
8190318,8/8/1993,15.5,NO,4.7,,7,38,43,,NO GAUGE, BUT HIGH!,CLEAR,BLUE,2-Very minor aesthetic problems,
1,10/10/1993,,,,3.4,,,,44,,,,,,
8190318,10/10/1993,13.5,NO,4.1,,8,40,44,,HIGH(NO GAUGE),,CLEAR,BLUE,2-Very minor aesthetic problems,
8190318,5/22/1994,20.25,NO,6.2,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,5/28/1994,22.25,NO,6.8,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/4/1994,25.75,NO,7.8,,,30,,,HIGH,BUT STARTING TO FALL,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/19/1994,17,NO,5.2,,,36,,,HIGH,BUT FAILING SLIGHTLY,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/9/1994,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/30/1994,17,NO,5.2,2.56,4,36,39,42,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/28/1994,25.25,NO,7.7,0.676,8,31,44,32,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/30/1995,18.75,NO,5.7,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
64082645,7/30/1995,,,,0,ND*,,,,,,,,,
8190318,8/13/1995,11.75,NO,3.6,,,42,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/27/1995,20.25,NO,6.2,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,9/4/1995,,,,0.95,ND*,,,34,,,,,,
8190318,9/4/1995,24.25,NO,7.4,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,10/8/1995,22.5,NO,6.8,1.5,8,32,44,38,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/27/1996,21.25,NO,6.5,1.31,ND*,33,,37,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/10/1996,19.25,NO,5.9,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/25/1996,22.5,NO,6.8,0.91,ND*,32,,34,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,10/14/1996,20.25,NO,6.2,2.15,11,34,47,41,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,5/26/1997,20,NO,6.1,,21,34,52,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/20/1997,21.5,NO,6.5,0.92,11,33,47,34,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/9/1997,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/31/1997,23.5,NO,7.1,1.47,ND*,32,,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,5/16/1998,25,NO,7.6,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,5/24/1998,25.5,NO,7.8,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/3/1998,23,NO,7,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/19/1998,23,NO,7,1.32,5,32,41,37,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,9/6/1998,19.5,NO,5.9,1.29,ND*,34,,37,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,6/13/1999,20.5,NO,6.2,1.02,ND*,34,,35,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/4/1999,18.75,NO,5.7,,,35,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/25/1999,17,NO,5.2,1.39,8,36,44,37,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/8/1999,9,NO,2.7,,,45,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190318,8/21/1999,5.25,NO,1.6,9,10,53,46,51,NO CHANGE,,MURKY,GREEN,2-Very minor aesthetic problems,
8190318,9/11/1999,4.5,NO,1.4,,,55,,,NO CHANGE,,MURKY,GREEN,2-Very minor aesthetic problems,
8190318,10/17/1999,9,NO,2.7,4.31,10,45,46,46,NO CHANGE,,MURKY,GREEN,2-Very minor aesthetic problems,
8190318,5/7/2000,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190318,5/29/2000,26.5,NO,8.1,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/4/2005,21,NO,6.4,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/17/2005,,,,1.59,ND*,,,38,,,,,,
8190318,5/8/2006,25,NO,7.6,,10,31,46,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,7/4/2006,20.25,NO,6.2,,ND*,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,9/10/2006,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,9/30/2006,17.5,NO,5.3,2.72,7,36,43,42,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,8/31/2008,18,NO,5.5,1.27,9,35,45,37,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
64082645,7/21/2012,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
64082645,8/7/2012,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
