Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Hidden Valley Lake 1,Lafayette,903450,SC,33,,333231,SW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190257,05/13/1993,5,YES,1.5,,,54,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190257,07/09/1993,3,YES,0.9,,,61,,,1' ABOVE NORMAL,,,LIGHT BROWN,4-Would not swim but boating OK (algae)
8190257,07/25/1993,3.5,YES,1.1,,,59,,,NORMAL,,,LIGHT BROWN,3-Enjoyment somewhat impaired (algae)
8190257,08/22/1993,4.25,NO,1.3,,,56,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190257,09/06/1993,4.75,NO,1.4,,,55,,,,,,BROWN,2-Very minor aesthetic problems
8190257,06/12/1994,4,NO,1.2,,,57,,,DEPTH @ SITE 16.5',,,BROWN,2-Very minor aesthetic problems
8190257,07/04/1994,4.5,NO,1.4,,,55,,,DEPTH @ SITE 16.5',,,BROWN,3-Enjoyment somewhat impaired (algae)
8190257,07/31/1994,4.5,NO,1.4,,,55,,,DEPTH @ SITE 16.5',,,GREEN,3-Enjoyment somewhat impaired (algae)
8190257,08/21/1994,3.25,NO,1,,,60,,,DEPTH @ SITE 16.75',,,BROWN,3-Enjoyment somewhat impaired (algae)
8190257,09/11/1994,4,NO,1.2,,,57,,,DEPTH @ SITE 16.5',,,BROWN,3-Enjoyment somewhat impaired (algae)
8190257,10/02/1994,4.25,NO,1.3,,,56,,,DEPTH @ SITE 16.5',,,BROWN,2-Very minor aesthetic problems
8190257,10/23/1994,4.5,NO,1.4,,,55,,,DEPTH @ SITE 16.5',,,BROWN,2-Very minor aesthetic problems
8190257,05/29/1995,9,NO,2.7,,,45,,,DEPTH 16'9",16.75,CLEAR,BROWN,1-Beautiful, could not be nicer
8190257,06/18/1995,7,NO,2.1,,,49,,,DEPTH 16'7",16.5833,CLEAR,BROWN,2-Very minor aesthetic problems
8190257,07/02/1995,5.75,NO,1.7,,,52,,,DEPTH 16'6",16.5,,BROWN,2-Very minor aesthetic problems
