Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Staples Lake,Barron,2631200,NO,3,,033193,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189919,10/03/2001,3,NO,0.9,,,61,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,10/18/2001,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,10/20/2001,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189919,05/06/2002,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189919,05/14/2002,5.75,NO,1.7,,,52,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,05/29/2002,10,NO,3,,,44,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,06/06/2002,11,NO,3.3,,,43,,,NORMAL,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
8189919,06/11/2002,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189919,06/20/2002,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8189919,07/04/2002,5.5,YES,1.7,,,53,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,07/14/2002,5.5,NO,1.7,,,53,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,07/17/2002,4.75,NO,1.4,,,55,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189919,08/15/2002,3,NO,0.9,,,61,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,08/26/2002,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,09/06/2002,2,NO,0.6,,,67,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,09/15/2002,3,NO,0.9,,,61,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189919,10/01/2002,3.25,NO,1,,,60,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,10/22/2002,6,NO,1.8,,,51,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,11/10/2002,5.75,NO,1.7,,,52,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,05/13/2003,7.75,NO,2.4,,,48,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189919,05/30/2003,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189919,06/09/2003,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189919,06/25/2003,4,NO,1.2,,,57,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189919,07/02/2003,4.25,NO,1.3,,,56,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189919,07/10/2003,4,NO,1.2,,,57,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,07/18/2003,3.25,NO,1,,,60,,,LOW,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
8189919,07/26/2003,4,NO,1.2,,,57,,,LOW,,CLEAR,GREEN,5-Enjoyment substantially impaired (algae)
8189919,08/09/2003,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189919,08/30/2003,3.75,NO,1.1,,,58,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,09/10/2003,3.5,NO,1.1,,,59,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189919,09/19/2003,5.25,NO,1.6,,,53,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
8189919,10/02/2003,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
8189919,10/14/2003,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
8189919,11/01/2003,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
8189919,05/18/2004,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,5-Enjoyment substantially impaired (algae)
8189919,05/29/2004,13,NO,4,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
