Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Big Trade Lake,Burnett,2638700,NO,7,,073056,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189609,06/18/1986,3.5,NO,1.1,,,59,,,,,,BROWN,
8189609,07/03/1986,3.5,NO,1.1,,,59,,,,,,BROWN,
8189609,07/18/1986,3.25,NO,1,,,60,,,,,,BROWN,
8189609,07/29/1986,2.75,NO,0.8,,,63,,,,,,BROWN,
8189609,08/10/1986,3,NO,0.9,,,61,,,,,,BROWN,
8190876,08/21/1986,2.75,NO,0.8,,,63,,,,,,BROWN,
8190876,08/31/1986,2.75,NO,0.8,,,63,,,,,,BROWN,
8190876,09/14/1986,2.75,NO,0.8,,,63,,,,,,BROWN,
8189609,09/24/1986,2.75,NO,0.8,,,63,,,,,,BROWN,
8189609,10/20/1986,5,NO,1.5,,,54,,,,,,GREEN,
8189609,04/23/1987,3.5,NO,1.1,,,59,,,,,,BLUE,
8189609,05/03/1987,5.25,NO,1.6,,,53,,,,,,BROWN,
8189609,05/17/1987,7.5,NO,2.3,,,48,,,,,,BROWN,
8189609,05/29/1987,4.75,NO,1.4,,,55,,,,,,GREEN,
8189609,06/09/1987,4,NO,1.2,,,57,,,,,,BROWN,
8189609,06/24/1987,2.5,NO,0.8,,,64,,,,,,GREEN,
8189609,07/13/1987,2.25,NO,0.7,,,65,,,,,,GREEN,
8189609,07/22/1987,3.5,NO,1.1,,,59,,,,,,GREEN,
8189609,08/18/1987,3,NO,0.9,,,61,,,,,,GREEN,
8189609,09/04/1987,2.17,NO,0.7,,,66,,,,,,GREEN,
8189609,09/24/1987,3.17,NO,1,,,60,,,,,,GREEN,
8189609,10/05/1987,3.75,NO,1.1,,,58,,,,,,BROWN,
8190876,04/28/1988,6.25,NO,1.9,,,51,,,,,,BROWN,
8190876,05/15/1988,7,NO,2.1,,,49,,,,,,BROWN,1-Beautiful, could not be nicer
8190876,05/31/1988,8.5,NO,2.6,,,46,,,,,,BROWN,1-Beautiful, could not be nicer
8190876,06/16/1988,4,NO,1.2,,,57,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190876,07/13/1988,4,NO,1.2,,,57,,,,,,GREEN,
8190876,08/10/1988,4,NO,1.2,,,57,,,,,,GREEN,
8190876,08/26/1988,5,NO,1.5,,,54,,,,,,LT. BROWN,
