Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Benoit Lake,Burnett,2678300,NO,7,,10039772,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
78083293,06/13/2013,16.5,NO,5,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,06/27/2013,16,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
78083293,06/28/2013,, ,,,,,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,07/16/2013,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,07/21/2013,, ,,,,,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,08/16/2013,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,09/02/2013,, ,,,,,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,09/15/2013,, ,,,,,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,05/24/2014,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
78083293,06/17/2014,14.7,NO,4.5,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,06/23/2014,11.6,NO,3.5,,,42,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,07/28/2014,7.3,NO,2.2,,,48,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
78083293,08/23/2014,7.9,NO,2.4,,,47,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
78083293,09/28/2014,11.6,NO,3.5,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,06/18/2015,12.9,NO,3.9,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,07/21/2015,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,08/16/2015,9.2,NO,2.8,,,45,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
78083293,06/22/2016,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,07/25/2016,11.8,NO,3.6,,,42,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,08/16/2016,9.1,NO,2.8,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
78083293,06/20/2017,11,NO,3.3,,,43,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,07/21/2017,9.1,NO,2.8,,,45,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,07/24/2017,,,,4.48,22,,52,46,,,,,
82607229,07/28/2017,9.5,NO,2.9,,,45,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,09/04/2017,,,,6.04,21.5,,52,48,,,,,
1,10/01/2017,,,,6.34,21.1,,52,49,,,,,
78083293,06/25/2018,10.8,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/24/2018,,,,3.06,20.2,,51,43,,,,,
78083293,07/24/2018,10.6,NO,3.2,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/13/2018,,,,1.99,11.9,,47,40,,,,,
78083293,08/14/2018,11,NO,3.3,,,43,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
19207139,08/17/2018,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
10585221,08/20/2018,,,,2.8,13.7,,48,43,,,,,
1,09/16/2018,,,,5.86,13.5,,48,48,,,,,
78083293,06/21/2019,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
78083293,06/25/2019,,,,2.25,10.6,,46,41,,,,,
78083293,07/22/2019,10.1,NO,3.1,3.26,9.81,44,46,44,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,08/25/2019,13.2,NO,4,3.07,11.9,40,47,43,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
78083293,06/23/2020,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
78083293,06/24/2020,,,,5.76,13.2,,48,48,,,,,
78083293,07/26/2020,,,,,,,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
78083293,07/27/2020,9,,2.7,5.25,12.1,45,47,47,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
78083293,08/23/2020,7.6,NO,2.3,,,48,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
78083293,08/24/2020,,,,4.59,14.3,,49,46,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/28/2013,0,FEET,76.4,DEGREES F,8,MG/L
06/28/2013,5,FEET,76.4,DEGREES F,8.2,MG/L
06/28/2013,10,FEET,75,DEGREES F,8.2,MG/L
06/28/2013,15,FEET,67.8,DEGREES F,9.2,MG/L
06/28/2013,20,FEET,59,DEGREES F,8.5,MG/L
06/28/2013,25,FEET,52.8,DEGREES F,5.4,MG/L
06/28/2013,30,FEET,50.1,DEGREES F,2.6,MG/L
06/28/2013,35,FEET,48.9,DEGREES F,1.4,MG/L
06/28/2013,40,FEET,48.7,DEGREES F,.2,MG/L
07/21/2013,0.1,FEET,79.1,DEGREES F,7.6,MG/L
07/21/2013,5,FEET,78.2,DEGREES F,8.3,MG/L
07/21/2013,10,FEET,75.9,DEGREES F,7.9,MG/L
07/21/2013,15,FEET,71,DEGREES F,8.4,MG/L
07/21/2013,20,FEET,59.9,DEGREES F,7.4,MG/L
07/21/2013,25,FEET,54,DEGREES F,3,MG/L
07/21/2013,30,FEET,51.8,DEGREES F,1.4,MG/L
07/21/2013,35,FEET,50.5,DEGREES F,.8,MG/L
07/21/2013,40,FEET,50.6,DEGREES F,.6,MG/L
08/16/2013,0.1,FEET,74.1,DEGREES F,9.4,MG/L
08/16/2013,5,FEET,72.8,DEGREES F,9.4,MG/L
08/16/2013,10,FEET,72,DEGREES F,9,MG/L
08/16/2013,15,FEET,70.3,DEGREES F,8.2,MG/L
08/16/2013,20,FEET,64.2,DEGREES F,3.8,MG/L
08/16/2013,25,FEET,54.8,DEGREES F,1.4,MG/L
08/16/2013,30,FEET,52.2,DEGREES F,1.4,MG/L
08/16/2013,35,FEET,50.4,DEGREES F,1.3,MG/L
08/16/2013,40,FEET,49.7,DEGREES F,.6,MG/L
09/02/2013,0.1,FEET,74.1,DEGREES F,,
09/02/2013,5,FEET,74.3,DEGREES F,,
09/02/2013,10,FEET,74.3,DEGREES F,,
09/02/2013,15,FEET,74.3,DEGREES F,,
09/02/2013,20,FEET,67.1,DEGREES F,,
09/02/2013,25,FEET,55.7,DEGREES F,,
09/02/2013,30,FEET,51.6,DEGREES F,,
09/02/2013,35,FEET,50.1,DEGREES F,,
09/02/2013,40,FEET,49.6,DEGREES F,,
09/15/2013,0.1,FEET,68.5,DEGREES F,,
09/15/2013,5,FEET,68.5,DEGREES F,,
09/15/2013,10,FEET,68.7,DEGREES F,,
09/15/2013,15,FEET,68.7,DEGREES F,,
09/15/2013,20,FEET,68,DEGREES F,,
09/15/2013,25,FEET,58.4,DEGREES F,,
09/15/2013,30,FEET,51.6,DEGREES F,,
09/15/2013,35,FEET,50.3,DEGREES F,,
09/15/2013,40,FEET,49.8,DEGREES F,,
05/24/2014,0.1,FEET,61.2,DEGREES F,9.6,MG/L
05/24/2014,5,FEET,57,DEGREES F,10.6,MG/L
05/24/2014,10,FEET,54.5,DEGREES F,10.7,MG/L
05/24/2014,15,FEET,54,DEGREES F,11,MG/L
05/24/2014,20,FEET,50.5,DEGREES F,10.4,MG/L
05/24/2014,25,FEET,48,DEGREES F,8.4,MG/L
05/24/2014,30,FEET,46,DEGREES F,5.8,MG/L
05/24/2014,35,FEET,45,DEGREES F,5.2,MG/L
05/24/2014,40,FEET,43.8,DEGREES F,3.6,MG/L
06/17/2014,0.1,FEET,73.7,DEGREES F,8.4,MG/L
06/17/2014,5,FEET,69,DEGREES F,9,MG/L
06/17/2014,10,FEET,67.5,DEGREES F,9,MG/L
06/17/2014,15,FEET,66,DEGREES F,9,MG/L
06/17/2014,20,FEET,56.5,DEGREES F,9,MG/L
06/17/2014,25,FEET,50,DEGREES F,9.2,MG/L
06/17/2014,30,FEET,49.5,DEGREES F,5.2,MG/L
06/17/2014,35,FEET,49,DEGREES F,3.4,MG/L
06/17/2014,40,FEET,47,DEGREES F,1.6,MG/L
07/28/2014,0.1,FEET,76,DEGREES F,8.2,MG/L
07/28/2014,5,FEET,75.5,DEGREES F,8.2,MG/L
07/28/2014,10,FEET,75,DEGREES F,8.2,MG/L
07/28/2014,15,FEET,74,DEGREES F,7.35,MG/L
07/28/2014,20,FEET,63.5,DEGREES F,2.6,MG/L
07/28/2014,25,FEET,54.5,DEGREES F,1.7,MG/L
07/28/2014,30,FEET,49,DEGREES F,1,MG/L
07/28/2014,35,FEET,48,DEGREES F,1.2,MG/L
07/28/2014,40,FEET,48,DEGREES F,.2,MG/L
08/23/2014,0.1,FEET,74.3,DEGREES F,7.8,MG/L
08/23/2014,5,FEET,73,DEGREES F,8.4,MG/L
08/23/2014,10,FEET,72.5,DEGREES F,8.1,MG/L
08/23/2014,15,FEET,71.5,DEGREES F,6.2,MG/L
08/23/2014,20,FEET,65,DEGREES F,1.6,MG/L
08/23/2014,25,FEET,55,DEGREES F,.6,MG/L
08/23/2014,30,FEET,51.5,DEGREES F,.2,MG/L
08/23/2014,35,FEET,49,DEGREES F,0,MG/L
08/23/2014,40,FEET,48.5,DEGREES F,0,MG/L
06/18/2015,0.1,FEET,70.7,DEGREES F,8.2,MG/L
06/18/2015,5,FEET,70.3,DEGREES F,9.2,MG/L
06/18/2015,10,FEET,70.3,DEGREES F,9,MG/L
06/18/2015,15,FEET,67.8,DEGREES F,8.6,MG/L
