Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Middle Lake,Walworth,755700,SE,65,,653124,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/18/1973,,,,,10,,46,,,,,,
1,11/27/1973,,,,,70,,61,,,,,,
1,02/13/1974,,,,,20,,51,,,,,,
1,04/04/1974,,,,,30,,54,,,,,,
1,11/12/1974,,,,,20,,51,,,,,,
1,02/25/1975,,,,,10,,46,,,,,,
41731863,02/19/1980,,,,,,,,,,,,,
1,06/10/1980,10.8,,3.3,5,,43,,47,,,,,
1,09/09/1980,18.4,,5.6,6,,35,,48,,,,,
1,09/14/1981,6.9,,2.1,5,,49,,47,,,,,
1,05/10/1994,,,,1.09,11,,47,35,,,,,
1,05/25/1994,,,,1.62,16,,50,38,,,,,
1,06/07/1994,,,,3.32,9,,45,44,,,,,
1,06/24/1994,,,,6.16,10,,46,49,,,,,
1,07/05/1994,,,,3.61,10,,46,45,,,,,
1,07/22/1994,,,,3.54,11,,47,44,,,,,
1,08/02/1994,,,,3.58,8,,44,44,,,,,
1,08/22/1994,,,,3.05,9,,45,43,,,,,
1,08/31/1994,,,,3.29,9,,45,44,,,,,
1,09/16/1994,,,,3.29,9,,45,44,,,,,
1,09/27/1994,,,,3.54,10,,46,44,,,,,
1,10/12/1994,,,,3.02,8,,44,43,,,,,
1,11/02/1994,,,,1.79,11,,47,39,,,,,
1,04/17/1995,,,,2.19,10,,46,41,,,,,
1,06/21/1995,12.5,,3.8,2.31,8,41,44,41,,,,,
1,08/22/1995,,,,3.66,11,,47,45,,,,,
1,09/20/1995,,,,3.61,7,,43,45,,,,,
1,10/19/1995,9.5,,2.9,4.61,11,45,47,46,,,,,
8188630,02/19/1999,,,,,,,,,,,,,
1,04/14/1999,,,,0.33,6,,42,26,,,,,
8188630,06/15/1999,,,,4.13,10,,46,46,,,,,
1,07/14/1999,,,,4.47,10,,46,46,,,,,
1,08/11/1999,,,,3,10,,46,43,,,,,
1,02/10/2000,,,,,11,,47,,,,,,
1,03/29/2000,,,,0.9,9,,45,34,,,,,
1,06/08/2000,,,,2.5,,,,42,,,,,
8188630,07/11/2000,,,,4,9,,45,45,,,,,
1,08/08/2000,,,,4.1,,,,45,,,,,
8188630,02/13/2001,,,,,6,,42,,,,,,
8188630,04/10/2001,,,,1.3,9,,45,37,,,,,
1,06/18/2001,,,,1.6,,,,38,,,,,
1,07/17/2001,,,,6,,,,48,,,,,
1,08/20/2001,,,,6,,,,48,,,,,
8188630,04/11/2002,,,,1,8,,44,35,,,,,
8188630,06/03/2002,,,,1,9,,45,35,,,,,
1,07/01/2002,,,,2.85,13,,48,43,,,,,
1,08/06/2002,,,,5.49,15,,49,48,,,,,
1,02/19/2003,,,,,6,,42,,,,,,
1,04/22/2003,,,,1.79,17,,50,39,,,,,
1,06/11/2003,,,,3.95,12,,47,45,,,,,
1,07/09/2003,,,,11.7,19,,51,53,,,,,
1,08/20/2003,,,,6.9,16,,50,49,,,,,
8188630,02/18/2004,,,,,11,,47,,,,,,
1,04/08/2004,,,,1.99,15,,49,40,,,,,
1,06/07/2004,,,,3.66,47,,58,45,,,,,
8188630,07/12/2004,,,,6.68,13,,48,49,,,,,
1,08/16/2004,,,,4.82,16,,50,47,,,,,
1,02/09/2005,,,,,12,,47,,,,,,
1,04/11/2005,,,,1.82,11,,47,39,,,,,
1,06/07/2005,,,,2.64,12,,47,42,,,,,
1,07/11/2005,,,,5.8,14,,49,48,,,,,
1,08/25/2005,,,,4.4,12,,47,46,,,,,
15899266,03/06/2006,25,NO,7.6,,,31,,,,,,,
15899266,04/13/2006,21,NO,6.4,,,33,,,,,,,
