Lake Water Quality Report - 1950 to 2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type,,,,,,,,
Tuttle Lake,Marquette,108200,NE,39,,393009,CE,SEEPAGE,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception,,
1,2/22/1977,,,,,20,,51,,,,,,,,
1,5/25/1977,13.1,,4,,,40,,,,,,,,,
1,8/15/1977,9.8,,3,,,44,,,,,,,,,
1,11/14/1977,16.4,,5,,,37,,,,,,,,,
1,8/14/1979,,,,8.69,8,,44,51,,,,,,,
8191007,6/13/1988,6,NO,1.8,,,51,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae),,
8190284,6/26/1988,6,NO,1.8,,,51,,,"DOWN 4"" IN 2 WKS",,CLEAR,BLUE,2-Very minor aesthetic problems,,
8190284,7/3/1988,5.5,NO,1.7,,,53,,,"DOWN .5"" THIS WEEK",,CLEAR,BLUE,2-Very minor aesthetic problems,,
8190284,7/11/1988,6,NO,1.8,,,51,,,"DOWN ANOTHER .5""",,CLEAR,BLUE,,,
8190284,7/17/1988,5.25,NO,1.6,,,53,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer,
8190284,7/30/1988,5.75,NO,1.7,,,52,,,"DOWN 1.5-2""",,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,8/7/1988,5.5,NO,1.7,,,53,,,"DOWN .5"" FROM 7/30",,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,8/13/1988,5.5,NO,1.7,,,53,,,"DOWN .5"" FROM 8/7",,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,8/20/1988,6.75,NO,2.1,,,50,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,9/5/1988,7.25,NO,2.2,,,49,,,"DOWN .5"" FROM 8/20",,CLEAR,BLUE,2-Very minor aesthetic problems,,
8190284,5/21/1989,11,NO,3.3,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,5/27/1989,13,NO,4,,,40,,,-15 IN. NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,6/5/1989,13,NO,4,,,40,,,-9.5 IN.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,6/11/1989,12,NO,3.6,,,41,,,-9.5 IN.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,6/17/1989,10.25,NO,3.1,,,44,,,-9.1 IN.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,6/24/1989,11.5,NO,3.5,,,42,,,-9.5 IN.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,7/1/1989,11,NO,3.3,,,43,,,-9.5 IN.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,7/4/1989,8.75,NO,2.7,,,46,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,7/9/1989,9.25,NO,2.8,,,45,,,-10.5 IN.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,7/15/1989,7.75,NO,2.4,,,48,,,-12.25 IN.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,7/22/1989,6.5,NO,2,,,50,,,-11.5,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,8/4/1989,6.25,NO,1.9,,,51,,,-12.9 IN.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,8/19/1989,10.25,NO,3.1,,,44,,,-15.5 IN.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,8/27/1989,10.5,NO,3.2,,,43,,,-16.75 IN.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190284,9/2/1989,10.25,NO,3.1,,,44,,,-16.5 IN.,,CLEAR,BLUE,,,
