Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Diamond Lake,Oneida,1537100,NO,44,,443089,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/07/1979,,,,,,,,,,,,,
8188475,08/14/2001,,,,7,29,,54,50,,,,,
8188605,08/14/2001,5,NO,1.5,,,54,,,,,,,
102399386,10/19/2014,4.75,NO,1.4,,,55,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
102399386,10/24/2014,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,04/27/2015,3,NO,0.9,,,61,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,05/23/2015,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,06/02/2015,4.8,NO,1.5,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
102399386,06/21/2015,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
102399386,07/05/2015,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,07/22/2015,3.5,NO,1.1,,,59,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)
102399386,08/06/2015,2.25,NO,0.7,,,65,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)
102399386,08/15/2015,2.1,NO,0.6,,,66,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)
102399386,08/26/2015,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
102399386,09/15/2015,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,10/01/2015,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,05/19/2016,3.25,NO,1,,,60,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
102399386,05/30/2016,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,06/08/2016,5.5,NO,1.7,,,53,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
102399386,07/31/2016,6,NO,1.8,,,51,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,09/12/2016,3,NO,0.9,,,61,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
102399386,09/30/2016,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,05/28/2018,4.8,YES,1.5,,,55,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
102399386,06/25/2018,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
102399386,06/26/2018,,,,8.01,26.7,,54,51,,,,,
102399386,07/06/2018,3.2,NO,1,,,60,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
102399386,07/19/2018,3.8,NO,1.2,,,58,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
102399386,07/27/2018,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
102399386,07/28/2018,,,,13,25,,53,54,,,,,
102399386,08/07/2018,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
102399386,08/26/2018,4,NO,1.2,28.7,28.7,57,54,60,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
102399386,05/04/2019,3.5,NO,1.1,,48.9,59,58,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
102399386,05/26/2019,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,06/07/2019,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,06/25/2019,4.9,NO,1.5,21.4,12.9,54,48,58,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,07/07/2019,3.8,NO,1.2,,,58,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
102399386,08/02/2019,4.8,NO,1.5,12.8,25.2,55,53,54,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
102399386,08/14/2019,3.8,NO,1.2,,,58,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
102399386,08/24/2019,3,NO,0.9,,,61,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
102399386,08/25/2019,,,,42.6,34.6,,56,63,,,,,
102399386,09/10/2019,2.5,NO,0.8,,,64,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
102399386,06/08/2020,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
102399386,06/23/2020,4.5,NO,1.4,9.68,23.8,55,53,52,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
102399386,07/20/2020,3.3,NO,1,22.3,26.9,60,54,58,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/07/1979,,,19,C,,
08/14/2001,0,FEET,23.2,DEGREES C,7.83,MG/L
08/14/2001,2,FEET,23.2,DEGREES C,7.8,MG/L
08/14/2001,4,FEET,23.1,DEGREES C,7.82,MG/L
08/14/2001,6,FEET,23,DEGREES C,7.77,MG/L
08/14/2001,8,FEET,23,DEGREES C,7.77,MG/L
08/14/2001,10,FEET,22.9,DEGREES C,7.63,MG/L
08/14/2001,12,FEET,21.2,DEGREES C,.96,MG/L
08/14/2001,14,FEET,19.1,DEGREES C,.81,MG/L
10/19/2014,1,FEET,48.9,DEGREES F,,
10/19/2014,3,FEET,48.7,DEGREES F,,
10/19/2014,5,FEET,48.5,DEGREES F,,
10/19/2014,7,FEET,48.5,DEGREES F,,
10/19/2014,9,FEET,48.5,DEGREES F,,
10/19/2014,11,FEET,48.5,DEGREES F,,
10/19/2014,13,FEET,48.5,DEGREES F,,
10/19/2014,15,FEET,48.5,DEGREES F,,
10/24/2014,1,FEET,48.2,DEGREES F,,
10/24/2014,3,FEET,48.2,DEGREES F,,
10/24/2014,5,FEET,48.2,DEGREES F,,
10/24/2014,7,FEET,48,DEGREES F,,
10/24/2014,9,FEET,48,DEGREES F,,
10/24/2014,11,FEET,48,DEGREES F,,
10/24/2014,13,FEET,48,DEGREES F,,
10/24/2014,15,FEET,48,DEGREES F,,
04/27/2015,1,FEET,51.6,DEGREES F,,
04/27/2015,2,FEET,50.9,DEGREES F,,
04/27/2015,4,FEET,49.4,DEGREES F,,
04/27/2015,6,FEET,48.9,DEGREES F,,
04/27/2015,8,FEET,48.7,DEGREES F,,
04/27/2015,10,FEET,48.7,DEGREES F,,
04/27/2015,12,FEET,48.7,DEGREES F,,
04/27/2015,14,FEET,48.5,DEGREES F,,
04/27/2015,16,FEET,47.1,DEGREES F,,
05/23/2015,1,FEET,63.8,DEGREES F,,
05/23/2015,2,FEET,63.3,DEGREES F,,
05/23/2015,4,FEET,63.3,DEGREES F,,
05/23/2015,6,FEET,63.1,DEGREES F,,
05/23/2015,8,FEET,61.8,DEGREES F,,
05/23/2015,10,FEET,57.3,DEGREES F,,
05/23/2015,12,FEET,56.4,DEGREES F,,
05/23/2015,14,FEET,54.8,DEGREES F,,
06/02/2015,1,FEET,66.5,DEGREES F,,
06/02/2015,2,FEET,66.2,DEGREES F,,
06/02/2015,3,FEET,66,DEGREES F,,
06/02/2015,4,FEET,66,DEGREES F,,
06/02/2015,5,FEET,66,DEGREES F,,
06/02/2015,6,FEET,66,DEGREES F,,
06/02/2015,7,FEET,64.7,DEGREES F,,
06/02/2015,8,FEET,62.7,DEGREES F,,
06/02/2015,9,FEET,61.8,DEGREES F,,
06/02/2015,10,FEET,60.8,DEGREES F,,
06/02/2015,11,FEET,59.7,DEGREES F,,
06/02/2015,12,FEET,57.7,DEGREES F,,
06/02/2015,13,FEET,56.7,DEGREES F,,
06/02/2015,14,FEET,54.3,DEGREES F,,
06/02/2015,15,FEET,53.4,DEGREES F,,
07/05/2015,5,FEET,75.3,DEGREES F,,
07/05/2015,7,FEET,74.6,DEGREES F,,
07/05/2015,9,FEET,66.5,DEGREES F,,
07/05/2015,11,FEET,62.9,DEGREES F,,
07/05/2015,13,FEET,59.5,DEGREES F,,
07/05/2015,15,FEET,57,DEGREES F,,
07/22/2015,1,FEET,75.9,DEGREES F,,
07/22/2015,3,FEET,75.5,DEGREES F,,
07/22/2015,5,FEET,74.8,DEGREES F,,
07/22/2015,7,FEET,72.3,DEGREES F,,
07/22/2015,9,FEET,71.4,DEGREES F,,
07/22/2015,11,FEET,68.3,DEGREES F,,
07/22/2015,12,FEET,66.5,DEGREES F,,
07/22/2015,13,FEET,61.7,DEGREES F,,
07/22/2015,155,FEET,58.2,DEGREES F,,
08/06/2015,1,FEET,72.5,DEGREES F,,
08/06/2015,3,FEET,72.3,DEGREES F,,
08/06/2015,5,FEET,72.1,DEGREES F,,
08/06/2015,7,FEET,71.9,DEGREES F,,
08/06/2015,9,FEET,71.4,DEGREES F,,
08/06/2015,11,FEET,69.4,DEGREES F,,
08/06/2015,13,FEET,68.3,DEGREES F,,
08/06/2015,15,FEET,62,DEGREES F,,
08/15/2015,1,FEET,81.6,DEGREES F,,
08/15/2015,3,FEET,78,DEGREES F,,
08/15/2015,5,FEET,75.3,DEGREES F,,
08/15/2015,7,FEET,73.4,DEGREES F,,
08/15/2015,9,FEET,71.6,DEGREES F,,
08/15/2015,11,FEET,69.2,DEGREES F,,
08/15/2015,13,FEET,66.3,DEGREES F,,
08/15/2015,15,FEET,64.7,DEGREES F,,
08/26/2015,1,FEET,65.4,DEGREES F,,
08/26/2015,3,FEET,65.3,DEGREES F,,
08/26/2015,5,FEET,64.4,DEGREES F,,
08/26/2015,7,FEET,64.2,DEGREES F,,
08/26/2015,9,FEET,63.6,DEGREES F,,
08/26/2015,11,FEET,62.9,DEGREES F,,
08/26/2015,13,FEET,62.7,DEGREES F,,
08/26/2015,15,FEET,62.6,DEGREES F,,
09/15/2015,1,FEET,66.9,DEGREES F,,
09/15/2015,3,FEET,66.9,DEGREES F,,
09/15/2015,5,FEET,66.7,DEGREES F,,
09/15/2015,7,FEET,66.5,DEGREES F,,
09/15/2015,9,FEET,66.3,DEGREES F,,
09/15/2015,11,FEET,65.4,DEGREES F,,
09/15/2015,13,FEET,63.3,DEGREES F,,
09/15/2015,15,FEET,63.1,DEGREES F,,
10/01/2015,1,FEET,62,DEGREES F,,
10/01/2015,3,FEET,62,DEGREES F,,
10/01/2015,5,FEET,62,DEGREES F,,
